OBJECTID,state_number,nhs_rest_stop,highway_route,mile_post,municipality,county,state,latitude,longitude,number_of_spots,x,y
846,28,"NHS Welcome Center
Delma Furniss Hospitality Station",US 49 SB,NA,Lula,Coahoma,MS,34.423377,-90.468088,10,-90.4680879999904,34.4233770002269
847,28,"NHS Rest Area
Desoto County I-55 NB",I-55 NB,276,NA,Desoto,MS,34.770908,-89.963152,13,-89.9631520000191,34.7709080002697
848,28,"NHS Welcome Center
Desoto County Welcome Center",I-55 SB,279,Hernando,Desoto,MS,34.806633,-89.970877,12,-89.9708770003212,34.8066329997144
849,28,"NHS Welcome Center
Alcorn County Welcome Center",US 45 @ MS 145,NA,Corinth,Alcorn,MS,34.910596,-88.542525,15,-88.5425250004429,34.9105960001755
850,30,Lima,I-15N,15,Lima,Beaverhead,MT,44.631203,-112.589463,19,-112.589462999568,44.6312029997603
851,30,Red Rocks SB,I-15S,34,Red Rocks,Beaverhead,MT,44.852278,-112.796417,7,-112.796416999589,44.852278000118
852,30,Red Rocks NB,I-15N,34,Red Rocks,Beaverhead,MT,44.85332,-112.795344,9,-112.795343999711,44.8533199998188
853,30,Emigrant,US-89,23,Emigrant,Park,MT,45.295493,-110.835056,7,-110.835056000324,45.2954929997899
854,30,Bridger,US-310,29,Bridger,Carbon,MT,45.337927,-108.916164,5,-108.916163999671,45.3379270000651
855,30,Broadus,US-212,81,Broadus,Powder River,MT,45.42179,-105.397038,15,-105.397038000186,45.4217899997605
856,30,Twin Bridges,MT-41,27,Twin Bridges,Madison,MT,45.54486,-112.334916,4,-112.334915999774,45.5448599997594
857,30,Columbus EB,I-90E,419,Joliet,Stillwater,MT,45.598238,-109.065061,28,-109.065061000383,45.5982379997534
858,30,Columbus WB,I-90W,419,Joliet,Stillwater,MT,45.600492,-109.066466,40,-109.066465999624,45.6004919998924
